date,price
2022-05-31 03:00:00,31782.16
2022-06-01 03:00:00,29789.58
2022-06-02 03:00:00,30439.63
2022-06-03 03:00:00,29680.3
2022-06-04 03:00:00,29845.48
2022-06-05 03:00:00,29897.9
2022-06-06 03:00:00,31353.78
2022-06-07 03:00:00,31111.75
2022-06-08 03:00:00,30189.27
2022-06-09 03:00:00,30082.94
2022-06-10 03:00:00,29067.38
2022-06-11 03:00:00,28389.49
2022-06-12 03:00:00,26587.35
2022-06-13 03:00:00,22471.59
2022-06-14 03:00:00,22118.37
2022-06-15 03:00:00,22566.73
2022-06-16 03:00:00,20372.85
2022-06-17 03:00:00,20432.26
2022-06-18 03:00:00,18954.25
2022-06-19 03:00:00,20553.48
2022-06-20 03:00:00,20550.91
2022-06-21 03:00:00,20699.21
2022-06-22 03:00:00,19956.16
2022-06-23 03:00:00,21098.41
2022-06-24 03:00:00,21219.46
2022-06-25 03:00:00,21474.19
2022-06-26 03:00:00,21031.85
2022-06-27 03:00:00,20718.16
2022-06-28 03:00:00,20251.96
2022-06-29 03:00:00,20094.16
2022-06-30 03:00:00,19908.49
2022-07-01 03:00:00,19249.33
2022-07-02 03:00:00,19225.66
2022-07-03 03:00:00,19294.21
2022-07-04 03:00:00,20212.81
2022-07-05 03:00:00,20158.69
2022-07-06 03:00:00,20545.04
2022-07-07 03:00:00,21611.8
2022-07-08 03:00:00,21592.65
2022-07-09 03:00:00,21582.17
2022-07-10 03:00:00,20846.53
2022-07-11 03:00:00,19944.25
2022-07-12 03:00:00,19309.71
2022-07-13 03:00:00,20230.81
2022-07-14 03:00:00,20577.38
2022-07-15 03:00:00,20827.27
2022-07-16 03:00:00,21199.01
2022-07-17 03:00:00,20792.81
2022-07-18 03:00:00,22447.39
2022-07-19 03:00:00,23399.91
2022-07-20 03:00:00,23222.77
2022-07-21 03:00:00,23153.54
2022-07-22 03:00:00,22686.32
2022-07-23 03:00:00,22452.14
2022-07-24 03:00:00,22585.4
2022-07-25 03:00:00,21305.59
2022-07-26 03:00:00,21258.08
2022-07-27 03:00:00,22960.19
2022-07-28 03:00:00,23855.65
2022-07-29 03:00:00,23769.15
2022-07-30 03:00:00,23646.03
2022-07-31 03:00:00,23308.14
2022-08-01 03:00:00,23271.57
2022-08-02 03:00:00,22991.49
2022-08-03 03:00:00,22825.25
2022-08-04 03:00:00,22622.99
2022-08-05 03:00:00,23319.22
2022-08-06 03:00:00,22956.4
2022-08-07 03:00:00,23179.86
2022-08-08 03:00:00,23817.72
2022-08-09 03:00:00,23156.66
2022-08-10 03:00:00,23959.67
2022-08-11 03:00:00,23943.36
2022-08-12 03:00:00,24412.17
2022-08-13 03:00:00,24449.86
2022-08-14 03:00:00,24313.71
2022-08-15 03:00:00,24101.69
2022-08-16 03:00:00,23858.64
2022-08-17 03:00:00,23338.03
2022-08-18 03:00:00,23201.51
2022-08-19 03:00:00,20833.43
2022-08-20 03:00:00,21142.06
2022-08-21 03:00:00,21514.79
2022-08-22 03:00:00,21399.66
2022-08-23 03:00:00,21520.62
2022-08-24 03:00:00,21369.05
2022-08-25 03:00:00,21565.47
2022-08-26 03:00:00,20247.99
2022-08-27 03:00:00,20038.42
2022-08-28 03:00:00,19554.08
2022-08-29 03:00:00,20292.37
2022-08-30 03:00:00,19813.51
2022-08-31 03:00:00,20050.28
2022-09-01 03:00:00,20129.93
2022-09-02 03:00:00,19957.44
2022-09-03 03:00:00,19834.79
2022-09-04 03:00:00,20003.46
2022-09-05 03:00:00,19793.29
2022-09-06 03:00:00,18791.95
2022-09-07 03:00:00,19287.52
2022-09-08 03:00:00,19321.77
2022-09-09 03:00:00,21369.73
2022-09-10 03:00:00,21655.13
2022-09-11 03:00:00,21836.45
2022-09-12 03:00:00,22400.52
2022-09-13 03:00:00,20173.77
2022-09-14 03:00:00,20233.68
2022-09-15 03:00:00,19700.15
2022-09-16 03:00:00,19804.02
2022-09-17 03:00:00,20118.35
2022-09-18 03:00:00,19417.72
2022-09-19 03:00:00,19541.28
2022-09-20 03:00:00,18879.95
2022-09-21 03:00:00,18468.05
2022-09-22 03:00:00,19405.96
2022-09-23 03:00:00,19291.13
2022-09-24 03:00:00,18924.39
2022-09-25 03:00:00,18809.94
2022-09-26 03:00:00,19230.96
2022-09-27 03:00:00,19081.4
2022-09-28 03:00:00,19412.67
2022-09-29 03:00:00,19593.46
2022-09-30 03:00:00,19425.63
2022-10-01 03:00:00,19313.96
2022-10-02 03:00:00,19058.15
2022-10-03 03:00:00,19632.35
2022-10-04 03:00:00,20344.58
2022-10-05 03:00:00,20160.74
2022-10-06 03:00:00,19965.12
2022-10-07 03:00:00,19532.81
2022-10-08 03:00:00,19419.32
2022-10-09 03:00:00,19442.41
2022-10-10 03:00:00,19131.36
2022-10-11 03:00:00,19058.29
2022-10-12 03:00:00,19154.85
2022-10-13 03:00:00,19378.91
2022-10-14 03:00:00,19182.01
2022-10-15 03:00:00,19069.72
2022-10-16 03:00:00,19264.26
2022-10-17 03:00:00,19550.49
2022-10-18 03:00:00,19330.29
2022-10-19 03:00:00,19123.89
2022-10-20 03:00:00,19043.54
2022-10-21 03:00:00,19166.4
2022-10-22 03:00:00,19207.57
2022-10-23 03:00:00,19572.6
2022-10-24 03:00:00,19331.06
2022-10-25 03:00:00,20087.18
2022-10-26 03:00:00,20776.76
2022-10-27 03:00:00,20295.28
2022-10-28 03:00:00,20599.89
2022-10-29 03:00:00,20820.19
2022-10-30 03:00:00,20630.65
2022-10-31 02:00:00,20492.56
2022-11-01 02:00:00,20480.27
2022-11-02 02:00:00,20150.33
2022-11-03 02:00:00,20207.99
2022-11-04 02:00:00,21150.6
2022-11-05 02:00:00,21301.57
2022-11-06 02:00:00,20910.59
2022-11-07 02:00:00,20593.73
2022-11-08 02:00:00,18544.7
2022-11-09 02:00:00,15820.02
2022-11-10 02:00:00,17559.67
2022-11-11 02:00:00,17007.72
2022-11-12 02:00:00,16773.9
2022-11-13 02:00:00,16307.47
2022-11-14 02:00:00,16592.04
2022-11-15 02:00:00,16879.14
2022-11-16 02:00:00,16648.05
2022-11-17 02:00:00,16680.21
2022-11-18 02:00:00,16677.95
2022-11-19 02:00:00,16683.72
2022-11-20 02:00:00,16253.6
2022-11-21 02:00:00,15760.19
2022-11-22 02:00:00,16198.25
2022-11-23 02:00:00,16590.98
2022-11-24 02:00:00,16588.46
2022-11-25 02:00:00,16508.33
2022-11-26 02:00:00,16451.53
2022-11-27 02:00:00,16420.87
2022-11-28 02:00:00,16207.01
2022-11-29 02:00:00,16431.79
2022-11-30 02:00:00,17162.35
2022-12-01 02:00:00,16978.64
2022-12-02 02:00:00,17094.49
2022-12-03 02:00:00,16888.31
2022-12-04 02:00:00,17111.76
2022-12-05 02:00:00,16966.84
2022-12-06 02:00:00,17086.52
2022-12-07 02:00:00,16837.85
2022-12-08 02:00:00,17226.02
2022-12-09 02:00:00,17126.85
2022-12-10 02:00:00,17129.19
2022-12-11 02:00:00,17094.83
2022-12-12 02:00:00,17208.66
2022-12-13 02:00:00,17775.32
2022-12-14 02:00:00,17801.37
2022-12-15 02:00:00,17359.21
2022-12-16 02:00:00,16658.44
2022-12-17 02:00:00,16780.55
2022-12-18 02:00:00,16742.74
2022-12-19 02:00:00,16442.79
2022-12-20 02:00:00,16901.12
2022-12-21 02:00:00,16821.13
2022-12-22 02:00:00,16816.01
2022-12-23 02:00:00,16780.97
2022-12-24 02:00:00,16837.16
2022-12-25 02:00:00,16829.1
2022-12-26 02:00:00,16916.07
2022-12-27 02:00:00,16700.54
2022-12-28 02:00:00,16540.47
2022-12-29 02:00:00,16631.24
2022-12-30 02:00:00,16599.47
2022-12-31 02:00:00,16531.31
2023-01-01 02:00:00,16613.87
2023-01-02 02:00:00,16670.08
2023-01-03 02:00:00,16670.16
2023-01-04 02:00:00,16846.82
2023-01-05 02:00:00,16825.87
2023-01-06 02:00:00,16946.16
2023-01-07 02:00:00,16942.73
2023-01-08 02:00:00,17115.81
2023-01-09 02:00:00,17179.03
2023-01-10 02:00:00,17442.44
2023-01-11 02:00:00,17938.0
2023-01-12 02:00:00,18849.0
2023-01-13 02:00:00,19932.05
2023-01-14 02:00:00,20954.52
2023-01-15 02:00:00,20878.94
2023-01-16 02:00:00,21188.92
2023-01-17 02:00:00,21136.12
2023-01-18 02:00:00,20678.47
2023-01-19 02:00:00,21082.28
2023-01-20 02:00:00,22676.2
2023-01-21 02:00:00,22789.92
2023-01-22 02:00:00,22714.99
2023-01-23 02:00:00,22917.47
2023-01-24 02:00:00,22637.8
2023-01-25 02:00:00,23066.28
2023-01-26 02:00:00,23009.15
2023-01-27 02:00:00,23077.75
2023-01-28 02:00:00,23031.02
2023-01-29 02:00:00,23747.26
2023-01-30 02:00:00,22833.34
2023-01-31 02:00:00,23129.7
2023-02-01 02:00:00,23730.52
2023-02-02 02:00:00,23470.8
2023-02-03 02:00:00,23437.21
2023-02-04 02:00:00,23332.1
2023-02-05 02:00:00,22940.79
2023-02-06 02:00:00,22761.44
2023-02-07 02:00:00,23252.78
