model_id,model_type,scaling,features,n_features,silhouette_score,log_likelihood,window_size,step_size,n_mixtures,n_factors
StandardHMM_none_Returns+Range+pct_fg_30,StandardHMM,none,Returns+Range+pct_fg,3,0.3242979166784422,9856.921941583112,,,,
HierarchicalHMM_3factors_none_Returns+Range+fg+pct_RSI_111,HierarchicalHMM,none,Returns+Range+fg+pct_RSI,4,0.3234387086968889,-6263.906592279032,,,,3.0
HierarchicalHMM_3factors_none_Returns+pct_fg+RSI+pct_RSI_150,HierarchicalHMM,none,Returns+pct_fg+RSI+pct_RSI,4,0.323365709623347,-6667.203226108601,,,,3.0
StandardHMM_none_Range+fg+pct_fg+pct_RSI_90,StandardHMM,none,Range+fg+pct_fg+pct_RSI,4,0.32256755704563067,-597.4489107513298,,,,
GMMHMM_none_Returns+Range+pct_RSI_32,GMMHMM,none,Returns+Range+pct_RSI,3,0.3221538315122687,-5249.388300072339,,,3.0,
HierarchicalHMM_1factors_none_fg+pct_fg+RSI_83,HierarchicalHMM,none,fg+pct_fg+RSI,3,0.32189995126117005,-1863.3489861616724,,,,1.0
HierarchicalHMM_2factors_none_Returns+Range+pct_Range_22,HierarchicalHMM,none,Returns+Range+pct_Range,3,0.3214478827513138,-4334.857850607757,,,,2.0
GMMHMM_robust_Returns+Range+RSI+pct_RSI_199,GMMHMM,robust,Returns+Range+RSI+pct_RSI,4,0.3206498004633154,-7204.1057133662725,,,3.0,
StandardHMM_robust_Returns+Range+RSI+pct_RSI_199,StandardHMM,robust,Returns+Range+RSI+pct_RSI,4,0.3206498004633154,-7204.105713366486,,,,
HierarchicalHMM_2factors_none_Range+pct_Range+fg+RSI_155,HierarchicalHMM,none,Range+pct_Range+fg+RSI,4,0.3193943908062093,-3977.8675428152515,,,,2.0
HierarchicalHMM_4factors_none_Returns+Range+pct_Range+fg+RSI_203,HierarchicalHMM,none,Returns+Range+pct_Range+fg+RSI,5,0.31874226235993175,-9096.39160870301,,,,4.0
GMMHMM_none_Returns+fg+pct_fg_37,GMMHMM,none,Returns+fg+pct_fg,3,0.3179198759940585,-7175.967156694578,,,3.0,
HierarchicalHMM_4factors_none_Returns+Range+pct_Range+fg+pct_fg+pct_RSI_288,HierarchicalHMM,none,Returns+Range+pct_Range+fg+pct_fg+pct_RSI,6,0.3172855558100038,-8548.361230024502,,,,4.0
HierarchicalHMM_4factors_none_Returns+Range+pct_Range+fg+pct_fg+RSI_283,HierarchicalHMM,none,Returns+Range+pct_Range+fg+pct_fg+RSI,6,0.3172847145555651,-8958.43449956187,,,,4.0
HierarchicalHMM_3factors_robust_Returns+Range+pct_Range+pct_fg_416,HierarchicalHMM,robust,Returns+Range+pct_Range+pct_fg,4,0.31692435382695544,-6672.226881417242,,,,3.0
HierarchicalHMM_3factors_none_Returns+fg+RSI+pct_RSI_147,HierarchicalHMM,none,Returns+fg+RSI+pct_RSI,4,0.3165901464842107,-6865.721900204707,,,,3.0
HierarchicalHMM_1factors_none_Range+RSI+pct_RSI_69,HierarchicalHMM,none,Range+RSI+pct_RSI,3,0.31641500173972364,-2218.08236202078,,,,1.0
StandardHMM_none_Returns+Range+pct_Range+RSI_65,StandardHMM,none,Returns+Range+pct_Range+RSI,4,0.31628245443001335,-720.0309777875929,,,,
GMMHMM_robust_Returns+Range+pct_Range+RSI+pct_RSI_230,GMMHMM,robust,Returns+Range+pct_Range+RSI+pct_RSI,5,0.31491952005380214,-9567.746979514908,,,3.0,
StandardHMM_robust_Returns+Range+pct_Range+RSI+pct_RSI_230,StandardHMM,robust,Returns+Range+pct_Range+RSI+pct_RSI,5,0.31491952005380214,-9567.746979514932,,,,
GMMHMM_robust_pct_Range+fg_145,GMMHMM,robust,pct_Range+fg,2,0.3147749333113217,-3678.3539929559506,,,3.0,
StandardHMM_robust_pct_Range+fg_145,StandardHMM,robust,pct_Range+fg,2,0.3147749333113217,-3678.3539929559506,,,,
HierarchicalHMM_2factors_none_Returns+Range+pct_Range+RSI_98,HierarchicalHMM,none,Returns+Range+pct_Range+RSI,4,0.3144869818267634,-4518.959460488847,,,,2.0
StandardHMM_none_Returns+pct_Range+RSI_35,StandardHMM,none,Returns+pct_Range+RSI,3,0.31427675813553174,-5599.663984255205,,,,
StandardHMM_none_Range+pct_Range+pct_fg_44,StandardHMM,none,Range+pct_Range+pct_fg,3,0.3137178314840345,3192.2224473488873,,,,
StandardHMM_none_Returns+Range+pct_fg+pct_RSI_71,StandardHMM,none,Returns+Range+pct_fg+pct_RSI,4,0.31275864445453705,13785.906942839301,,,,
HierarchicalHMM_2factors_robust_Returns+Range+pct_Range+fg+pct_RSI_525,HierarchicalHMM,robust,Returns+Range+pct_Range+fg+pct_RSI,5,0.31216583552576177,-4408.538176588945,,,,2.0
StandardHMM_none_pct_fg+pct_RSI_26,StandardHMM,none,pct_fg+pct_RSI,2,0.3116756747655693,2879.9004228337044,,,,
GMMHMM_robust_Range+pct_Range+RSI+pct_RSI_215,GMMHMM,robust,Range+pct_Range+RSI+pct_RSI,4,0.31139722791397295,-9335.823639698101,,,3.0,
StandardHMM_robust_Range+pct_Range+RSI+pct_RSI_215,StandardHMM,robust,Range+pct_Range+RSI+pct_RSI,4,0.31139722791397295,-9335.82363969811,,,,
GMMHMM_none_Returns+fg+pct_fg+pct_RSI_80,GMMHMM,none,Returns+fg+pct_fg+pct_RSI,4,0.31061751628944173,-8123.73743571348,,,3.0,
StandardHMM_none_Range+pct_Range+fg+pct_fg+pct_RSI_114,StandardHMM,none,Range+pct_Range+fg+pct_fg+pct_RSI,5,0.3100447367666978,-3004.358566682867,,,,
HierarchicalHMM_1factors_none_pct_Range+fg+pct_fg+RSI_181,HierarchicalHMM,none,pct_Range+fg+pct_fg+RSI,4,0.3095584966045003,-1870.5669550914529,,,,1.0
HierarchicalHMM_1factors_none_pct_Range+fg+pct_fg+RSI+pct_RSI_276,HierarchicalHMM,none,pct_Range+fg+pct_fg+RSI+pct_RSI,5,0.3095462792249036,-1870.8085370005983,,,,1.0
HierarchicalHMM_1factors_none_pct_Range+fg+RSI_73,HierarchicalHMM,none,pct_Range+fg+RSI,3,0.3091729671703337,-1866.740950863041,,,,1.0
