,features,silhouette,log_likelihood,train_return_diff,test_return_diff,n_features,combined_score
45,"vol_of_vol, trend_strength",0.06449953167855335,-2909.6325536241916,0.002559601769583088,0.004344078021100109,2,0.32045970863686213
46,"vol_of_vol, iv_percentile_rank",0.22452830046726946,-5716.974784661945,0.001232068952204524,0.0035424008016886324,2,0.3477351956877219
47,"vol_of_vol, relative_pcr",0.046010925243984875,-1754.2447081310231,0.0007382196452152263,0.0036185074839206388,2,0.11983288976550752
48,"vol_of_vol, rsi20",-0.006139458857149909,-5253.253055083213,0.002839695114382793,0.008257196174650629,2,0.2778300525811294
49,"vol_of_vol, fg",0.2597570021578712,-5182.163386756408,0.007729678370005114,0.019672034703914543,2,1.0327248391583825
50,"vol_of_vol, pct_fg",0.4961702228154279,-1583.9559892785846,0.0019065249612441482,0.008485652078067462,2,0.6868227189398427
51,"trend_strength, iv_percentile_rank",0.23445686979741345,-3867.283608985901,0.0013005986983576747,0.013869809329512008,2,0.36451673963318093
52,"trend_strength, relative_pcr",0.3347711383447621,358.3345679311208,0.0033878501975146565,0.0006956324084210338,2,0.6735561580962277
53,"trend_strength, rsi20",0.10264115350366207,-2790.262567172259,0.002871811676256484,0.006615157608211327,2,0.3898223211293105
54,"trend_strength, fg",0.27443305574249194,-3300.895688808084,0.006256372884173663,0.019672034703914543,2,0.9000703441598583
55,"trend_strength, pct_fg",0.46933073671130615,364.05380153319163,0.0033139090239219884,0.0018921943871260307,2,0.800721639103505
56,"iv_percentile_rank, relative_pcr",0.11743567845385437,-2775.973193893259,0.0007604645783761547,0.013656731041866621,2,0.19348213629146982
57,"iv_percentile_rank, rsi20",0.2336126599174669,-6217.520251892875,0.003303281864913951,0.010941100202221086,2,0.563940846408862
58,"iv_percentile_rank, fg",0.17380857576441597,-6198.316916375442,0.006490962100479218,0.0,2,0.8229047858123378
59,"iv_percentile_rank, pct_fg",0.5696866309608764,-2701.1495012256605,0.004286569766242477,0.00469194678516853,2,0.9983436075851241
60,"relative_pcr, rsi20",0.12673369742536048,-2182.920999644647,0.006275722301766677,0.008876310880470499,2,0.7543059276020281
61,"relative_pcr, fg",0.2740677483159412,-2281.6126509752226,0.007132974415618199,0.019672034703914543,2,0.9873651898777611
62,"relative_pcr, pct_fg",0.1601963571855921,1175.1247119513678,0.005698549072647349,0.006468231902058487,2,0.730051264450327
63,"rsi20, fg",0.16614266116608767,-5601.5391325273695,0.006493817655636506,0.0,2,0.8155244267297382
64,"rsi20, pct_fg",0.4913602426169421,-2256.3737646594245,0.005997163116026492,0.008464709402736666,2,1.0910765542195913
